JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456100.48381,10.313,0.010,,V,ATE,,98,117,7791AH,,0,3.600,Z,,11.588,,MOA 2012 BLG-320,AAVSO,STD,,,,
2456100.48487,10.300,0.004,,V,ATE,,98,117,7791AH,,0,3.594,Z,,11.570,,MOA 2012 BLG-320,AAVSO,STD,,,,
2456100.48593,10.303,0.009,,V,ATE,,98,117,7791AH,,0,3.588,Z,,11.579,,MOA 2012 BLG-320,AAVSO,STD,,,,
2456100.48694,10.303,0.003,,V,ATE,,98,117,7791AH,,0,3.583,Z,,11.595,,MOA 2012 BLG-320,AAVSO,STD,,,,
2456100.82471,9.094,0.004,,R,HCW,,ENSEMBLE,STAR 2,120626,,0,3.107,Z,,9.500,,NOVA SCO 2012,,STD,,,,
2456100.82564,10.389,0.053,,V,HCW,,ENSEMBLE,106,7955AX,,0,3.107,Z,,10.716,,NOVA SCO 2012,,STD,,,,
2456101.47056,10.283,0.008,,V,ATE,,98,121,7791AH,,0,3.682,Z,,12.038,,MOA 2012 BLG-320,AAVSO,STD,,,,
2456101.47218,10.259,0.023,,V,ATE,,98,121,7791AH,,0,3.667,Z,,12.025,,MOA 2012 BLG-320,AAVSO,STD,,,,
2456101.47375,10.268,0.001,,V,ATE,,98,121,7791AH,,0,3.653,Z,,12.044,,MOA 2012 BLG-320,AAVSO,STD,,,,
2456101.47532,10.250,0.024,,V,ATE,,98,121,7791AH,,0,3.640,Z,,12.023,,MOA 2012 BLG-320,AAVSO,STD,,,,
2456101.47689,10.249,0.025,,V,ATE,,98,121,7791AH,,0,3.628,Z,,12.017,,MOA 2012 BLG-320,AAVSO,STD,,,,
2456101.47846,10.222,0.002,,V,ATE,,98,121,7791AH,,0,3.617,Z,,12.013,,MOA 2012 BLG-320,AAVSO,STD,,,,
2456101.48004,10.225,0.005,,V,ATE,,98,121,7791AH,,0,3.607,Z,,11.992,,MOA 2012 BLG-320,AAVSO,STD,,,,
2456101.48160,10.224,0.023,,V,ATE,,98,121,7791AH,,0,3.597,Z,,12.023,,MOA 2012 BLG-320,AAVSO,STD,,,,
2456101.48317,10.246,0.017,,V,ATE,,98,121,7791AH,,0,3.589,Z,,12.029,,MOA 2012 BLG-320,AAVSO,STD,,,,
2456101.48470,10.237,0.015,,V,ATE,,98,121,7791AH,,0,3.581,Z,,12.014,,MOA 2012 BLG-320,AAVSO,STD,,,,
2456101.48628,10.253,0.010,,V,ATE,,98,121,7791AH,,0,3.574,Z,,12.031,,MOA 2012 BLG-320,AAVSO,STD,,,,
