JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458156.818,8.4,,,Vis.,AAX,B,83,86,X22594EI,MOON,,,Z,,,,NOVA MUS 2018,NEOA-JBS,STD,,,,
2458156.869,8.3,,,Vis.,HSP,,81,86,X22635BEC,,,,Z,,,,NOVA MUS 2018,RASNZ-VSS,STD,,,,
2458156.951,7.9,,,Vis.,WCG,,77,81,X22594BQ,7x50 B,,,Z,,,,PNV J11261220-6531086,AAVSO,STD,,,,
2458156.951,8.36,0.01,,V,NLX,,100,113,X22685WF,Mag med sum 3x8s,0,1.7,Z,10,11.35,,PNV J11261220-6531086,AAVSO,STD,,,,
2458156.951,8.63,0.01,,B,NLX,,100,113,X22685WF,Mag med sum 3x20s,0,1.71,Z,10.5,12.07,,PNV J11261220-6531086,AAVSO,STD,,,,
2458156.99,8.637,0.006,,B,BHQ,,100,113,X22637IU,,1,1.651,Z,-7.95,-6.473,,NOVA MUS 2018,VSS,STD,1,,,
2458156.992,8.29,0.005,,V,BHQ,,100,113,X22637IU,,1,1.643,Z,-8.817,-7.523,,NOVA MUS 2018,VSS,STD,1,,,
2458156.993,7.314,0.002,,R,BHQ,,ENSEMBLE,,X22637IU,,0,1.638,Z,,,,NOVA MUS 2018,VSS,STD,1,,,
2458156.993,6.852,0.002,,I,BHQ,,ENSEMBLE,,X22637IU,,0,1.636,Z,,,,NOVA MUS 2018,VSS,STD,1,,,
2458157.031,8.7,,,Vis.,SRX,,NA,,NA,86,,,Z,,,,V357 MUS,AAVSO,STD,,,,
2458157.198,8,,,Vis.,BNK,,77,81,X22610AOR,,,,Z,,,,PNV J11261220-6531086,AAVSO,STD,,,,
2458157.291,8.3,,,Vis.,PEX,B,81,86,X22549SY,,,,Z,,,,Nova Mus 2018,AAVSO,STD,,,,
