JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456067.86981,10.057,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.26,Z,10.104,11.954,,PNV J17260708-2551454,VVS,STD,,,,
2456067.87306,11.883,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.28,Z,11.425,13.527,,PNV J17260708-2551454,VVS,STD,,,,
2456067.87351,10.067,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.28,Z,10.104,11.941,,PNV J17260708-2551454,VVS,STD,,,,
2456067.87676,11.876,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.30,Z,11.425,13.500,,PNV J17260708-2551454,VVS,STD,,,,
2456067.87721,10.061,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.30,Z,10.104,11.941,,PNV J17260708-2551454,VVS,STD,,,,
2456067.88054,11.906,0.006,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.32,Z,11.425,13.561,,PNV J17260708-2551454,VVS,STD,,,,
2456067.88100,10.064,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.33,Z,10.104,11.942,,PNV J17260708-2551454,VVS,STD,,,,
2456067.88434,11.901,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.35,Z,11.425,13.554,,PNV J17260708-2551454,VVS,STD,,,,
2456067.88479,10.055,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.35,Z,10.104,11.922,,PNV J17260708-2551454,VVS,STD,,,,
2456067.88814,11.909,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.38,Z,11.425,13.543,,PNV J17260708-2551454,VVS,STD,,,,
2456067.88858,10.067,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.38,Z,10.104,11.933,,PNV J17260708-2551454,VVS,STD,,,,
2456067.89140,11.907,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.40,Z,11.425,13.540,,PNV J17260708-2551454,VVS,STD,,,,
2456067.89185,10.072,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.40,Z,10.104,11.942,,PNV J17260708-2551454,VVS,STD,,,,
2456067.89468,11.895,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.43,Z,11.425,13.518,,PNV J17260708-2551454,VVS,STD,,,,
2456067.89513,10.081,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.43,Z,10.104,11.943,,PNV J17260708-2551454,VVS,STD,,,,
2456067.89797,11.905,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.45,Z,11.425,13.502,,PNV J17260708-2551454,VVS,STD,,,,
2456067.89843,10.070,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.46,Z,10.104,11.969,,PNV J17260708-2551454,VVS,STD,,,,
2456067.90125,11.913,0.008,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.48,Z,11.425,13.554,,PNV J17260708-2551454,VVS,STD,,,,
2456067.90170,10.081,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.49,Z,10.104,11.963,,PNV J17260708-2551454,VVS,STD,,,,
2456067.90454,11.899,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.51,Z,11.425,13.487,,PNV J17260708-2551454,VVS,STD,,,,
2456067.90499,10.080,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.52,Z,10.104,11.919,,PNV J17260708-2551454,VVS,STD,,,,
2456067.90784,11.925,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.55,Z,11.425,13.526,,PNV J17260708-2551454,VVS,STD,,,,
2456067.90829,10.089,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.55,Z,10.104,11.931,,PNV J17260708-2551454,VVS,STD,,,,
2456067.91113,11.915,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.58,Z,11.425,13.524,,PNV J17260708-2551454,VVS,STD,,,,
2456067.91157,10.089,0.007,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.58,Z,10.104,11.938,,PNV J17260708-2551454,VVS,STD,,,,
2456067.91441,11.910,0.007,,V,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.62,Z,11.425,13.544,,PNV J17260708-2551454,VVS,STD,,,,
2456067.91486,10.094,0.008,,I,HMB,,000-BKK-955,000-BKK-958,7011HV,,0,1.62,Z,10.104,11.923,,PNV J17260708-2551454,VVS,STD,,,,
2456068.0104,11.6,,,Vis.,SRX,,117,,NA,,,,Z,,,,V2676 OPH,RASNZ-VSS,STD,,,,
2456068.033276,12.61,0.01,,B,NLX,,ASAS172634-2600.5,ASAS172615-2601.2,7792QX," 	Mags ave 3 measures. APASS mags ",0,1.30,Z,11.92,13.17,,V2676 Oph,AAVSO,STD,,,,
