JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2456112.974248,12.6155,0.0038,,V,SPET,,114,118,8095AKK,,0,1.102,Z,11.5265,11.9298,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.975162,10.9513,0.0012,,R,SPET,,114,118,8095AKK,,0,1.100,Z,10.9368,11.4113,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.976065,10.1543,0.0034,,I,SPET,,114,118,8095AKK,,0,1.097,Z,11.3109,11.7754,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.977037,12.6206,0.0039,,V,SPET,,114,118,8095AKK,,0,1.095,Z,11.5708,11.9740,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.97794,10.9538,0.0012,,R,SPET,,114,118,8095AKK,,0,1.093,Z,10.9644,11.4400,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.978843,10.1533,0.0029,,I,SPET,,114,118,8095AKK,,0,1.090,Z,11.3497,11.8125,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.979815,12.6259,0.0039,,V,SPET,,114,118,8095AKK,,0,1.088,Z,11.5559,11.9651,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.980718,10.9583,0.0012,,R,SPET,,114,118,8095AKK,,0,1.086,Z,10.9459,11.4199,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.981609,10.1645,0.0032,,I,SPET,,114,118,8095AKK,,0,1.084,Z,11.3168,11.7821,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.982569,12.6320,0.0039,,V,SPET,,114,118,8095AKK,,0,1.082,Z,11.5258,11.9329,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.983472,10.9599,0.0012,,R,SPET,,114,118,8095AKK,,0,1.080,Z,10.9392,11.4086,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.984375,10.1642,0.0029,,I,SPET,,114,118,8095AKK,,0,1.078,Z,11.3641,11.8202,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.985347,12.6308,0.0039,,V,SPET,,114,118,8095AKK,,0,1.076,Z,11.5717,11.9776,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.98625,10.9606,0.0012,,R,SPET,,114,118,8095AKK,,0,1.074,Z,10.9900,11.4574,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.987164,10.1588,0.0032,,I,SPET,,114,118,8095AKK,,0,1.072,Z,11.3265,11.7812,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.988148,12.6416,0.0041,,V,SPET,,114,118,8095AKK,,0,1.070,Z,11.5876,11.9933,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.989051,10.9623,0.0012,,R,SPET,,114,118,8095AKK,,0,1.068,Z,10.9111,11.3857,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.989965,10.1629,0.0033,,I,SPET,,114,118,8095AKK,,0,1.066,Z,11.3092,11.7728,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.990926,12.6203,0.0038,,V,SPET,,114,118,8095AKK,,0,1.064,Z,11.5283,11.9383,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.99184,10.9607,0.0012,,R,SPET,,114,118,8095AKK,,0,1.063,Z,10.9662,11.4358,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.992743,10.1662,0.0030,,I,SPET,,114,118,8095AKK,,0,1.061,Z,11.3559,11.8154,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.993715,12.6315,0.0040,,V,SPET,,114,118,8095AKK,,0,1.059,Z,11.5686,11.9741,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.994618,10.9667,0.0012,,R,SPET,,114,118,8095AKK,,0,1.058,Z,10.9612,11.4342,,PNV J17522579-2126215,AAVSO,STD,,,,
2456112.995521,10.1679,0.0030,,I,SPET,,114,118,8095AKK,,0,1.056,Z,11.3568,11.8193,,PNV J17522579-2126215,AAVSO,STD,,,,
