# PR_STOUT run at Thu Jun 11 13:49:07 2009
 
   col1     col2  col3   col4
3855.48084   V   16.839  0.082
3855.48263   R   14.477  0.049
3855.48384   I   12.059  0.023
3855.48563   B   15.487  0.009
3861.45672   V   15.961  0.013
3861.45852   R   13.793  0.012
3861.45977   I   11.886  0.015
3861.46156   B   15.497  0.010
3862.45278   V   15.914  0.010
3862.45457   R   13.719  0.009
3862.45578   I   11.868  0.012
3862.45757   B   15.451  0.008
3864.44002   V   16.349  0.033
3864.44181   R   14.284  0.026
3864.44302   I   12.330  0.038
3864.44481   B   15.754  0.017
3866.43889   V   16.427  0.037
3866.44068   R   14.369  0.030
3866.44189   I   12.369  0.042
3866.44368   B   15.894  0.021
3867.45712   V   15.926  0.011
3867.45891   R   13.769  0.010
3867.46012   I   12.074  0.021
3867.46191   B   15.589  0.011
3869.44524   V   16.068  0.016
3869.44704   R   14.010  0.014
3869.44824   I   12.083  0.019
3869.45004   B   15.650  0.012
3870.44706   V   16.015  0.014
3870.44885   R   13.915  0.012
3870.45006   I   12.025  0.018
3870.45185   B   15.577  0.010
3871.44467   V   16.057  0.016
3871.44646   R   13.996  0.014
3871.44767   I   12.108  0.020
3871.44946   B   15.578  0.010
3872.44699   V   15.954  0.011
3872.44878   R   13.842  0.010
3872.44999   I   12.009  0.014
3872.45178   B   15.476  0.007
3875.43890   V   16.268  0.025
3875.44070   R   14.293  0.022
3875.44190   I   12.682  0.066
3875.44370   B   15.706  0.014
3880.43282   V   16.562  0.051
3880.43465   R   14.681  0.046
3880.43582   I   12.562  0.057
3880.43765   B   16.020  0.027
3930.93496   V   15.923  0.007
3930.93804   R   14.234  0.007
3930.94121   I   12.606  0.016
3930.94434   B   15.873  0.009
3937.92903   V   15.925  0.008
3937.93083   R   14.582  0.014
3937.93199   I   12.713  0.018
3937.93378   B   15.898  0.008
3945.90092   V   15.919  0.005
3945.90400   R   14.385  0.006
3945.90717   I   12.711  0.013
3945.91030   B   15.977  0.006
3951.88556   B   16.782  0.060
3951.88839   V   16.277  0.019
3951.89131   R   15.488  0.061
3951.89318   I   13.777  0.346
3958.87932   B   16.261  0.013
