# PR_STOUT run at Fri Feb 16 13:36:16 2018
 
   col1     col2   col3   col4    Flux   seeing    yymmdd source
7989.52197   R   15.230  0.003  1.73E-15  0.57    170823 Andicam
7999.50977   I   15.386  0.001  7.62E-16  0.73    170902 Andicam
7999.51123   B   15.769  0.001  2.97E-15  0.80    170902 Andicam
7999.51221   V   15.510  0.001  2.26E-15  0.85    170902 Andicam
7999.51416   R   15.548  0.001  1.29E-15  0.90    170902 Andicam
8011.52783   I   15.462  0.001  7.10E-16  1.27    170914 Andicam
8011.52881   B   15.824  0.002  2.83E-15  1.36    170914 Andicam
8011.52979   V   15.501  0.001  2.28E-15  1.32    170914 Andicam
8011.53076   R   15.549  0.002  1.29E-15  1.55    170914 Andicam
8022.48193   I   15.551  0.001  6.55E-16  0.82    170925 Andicam
8022.48291   B   16.002  0.001  2.40E-15  0.88    170925 Andicam
8022.48389   V   15.702  0.001  1.89E-15  0.98    170925 Andicam
8022.48486   R   15.735  0.001  1.09E-15  0.92    170925 Andicam
8037.48389   I   16.120  0.002  3.88E-16  1.31    171010 Andicam
8037.48486   B   16.286  0.002  1.85E-15  1.62    171010 Andicam
8037.48584   V   15.884  0.001  1.60E-15  1.44    171010 Andicam
8037.48682   R   15.897  0.001  9.38E-16  1.44    171010 Andicam
