# PR_STOUT run at Mon May 21 09:25:12 2018
 
   col1     col2   col3   col4    Flux   seeing    yymmdd source
8202.60352   I   11.305  0.001  3.27E-14  0.66    180324 Andicam
8202.60547   B   13.938  0.001  1.60E-14  0.77    180324 Andicam
8202.60645   V   13.174  0.001  1.94E-14  0.70    180324 Andicam
8202.60742   R   11.017  0.001  8.39E-14  0.66    180324 Andicam
8209.61230   I   11.460  0.001  2.83E-14  0.64    180331 Andicam
8209.61328   B   14.061  0.001  1.43E-14  0.71    180331 Andicam
8209.61426   V   13.278  0.001  1.76E-14  0.70    180331 Andicam
8209.61523   R   11.233  0.001  6.88E-14  0.70    180331 Andicam
8216.57031   I   11.657  0.001  2.36E-14  0.84    180407 Andicam
8216.57129   V   13.470  0.001  1.48E-14  0.93    180407 Andicam
8216.57129   B   14.216  0.001  1.24E-14  0.99    180407 Andicam
8216.57227   R   11.417  0.001  5.81E-14  0.89    180407 Andicam
8223.54688   I   11.688  0.001  2.30E-14  0.76    180414 Andicam
8223.54785   B   14.234  0.001  1.22E-14  0.86    180414 Andicam
8223.54883   V   13.485  0.001  1.46E-14  0.90    180414 Andicam
8223.54980   R   11.470  0.001  5.53E-14  0.76    180414 Andicam
8230.57031   I   11.684  0.001  2.31E-14  0.69    180421 Andicam
8230.57129   B   14.221  0.001  1.24E-14  0.82    180421 Andicam
8230.57227   V   13.474  0.001  1.47E-14  0.84    180421 Andicam
8230.57324   R   11.476  0.001  5.50E-14  0.72    180421 Andicam
8237.51660   I   11.884  0.002  1.92E-14  0.56    180428 Andicam
8237.51758   B   14.376  0.001  1.07E-14  0.74    180428 Andicam
8237.51855   V   13.632  0.001  1.27E-14  0.65    180428 Andicam
8237.51953   R   11.702  0.001  4.47E-14  0.62    180428 Andicam
8245.50391   I   11.961  0.003  1.79E-14  1.10    180506 Andicam
8245.50488   B   14.417  0.002  1.03E-14  1.23    180506 Andicam
8245.50586   V   13.655  0.001  1.25E-14  1.14    180506 Andicam
8245.50684   R   11.791  0.001  4.12E-14  1.10    180506 Andicam
8253.49316   B   14.563  0.001  9.02E-15  0.84    180514 Andicam
8253.49316   I   12.103  0.001  1.57E-14  0.68    180514 Andicam
8253.49414   V   13.799  0.001  1.09E-14  0.73    180514 Andicam
8253.49512   R   11.908  0.001  3.69E-14  0.70    180514 Andicam
